english,pos,twi
top,ADJECTIVE | NOUN,ɛsoro; soro; soro
descend,VERB,siane; si
wet,VERB,fɔ 
beautiful,ADJECTIVE,fɛ; fɛfɛɛfɛ
loosen,VERB,go; go mu 
filth,NOUN,efi; fi
leave,VERB,kɔ 
sweet,VERB,dɛ; dɛdɛɛdɛ 
grow,VERB,nyini 
1804,ADJECTIVE | NOUN,afɛ
heavy,ADJECTIVE,duru; duruduru; du
debt,NOUN,ɛka; ka 
day,NOUN,ɛda; da 
fetch,VERB,sa 
reach,VERB,tene nsa; tene nsa sɔ mu 
break,VERB,bu; bu mu 
solidify,VERB,ka 
respect,VERB,bu 
deep,,deɛ emu dɔ 
some,PREPOSITION | DETERMINER,ebi; bi 
weed,NOUN,nwura; mfuiɛ 
a,DETERMINER | INDEFINITE ARTICLE,bi 
create,NOUN,bɔ
proverb,NOUN,ɛbɛ; bɛ 
arrive,VERB,duru; du 
swindle,VERB,bu; yɛ bukata 
half,NOUN,ɛfa; fa 
television,NOUN,tɛlɛbihyɛn 
teacher,NOUN,ɔkyerɛkyerɛni; kyerɛkyerɛni 
booze,VERB,boro; bo 
chalk,NOUN,twɔɔko
cake,NOUN,keeki 
watch,VERB,hwɛ 
school,NOUN,sukuu 
trousers,NOUN,trɔsa
coal-pot,NOUN,koropɔɔto 
kerosene,NOUN,kresin  
lorry,NOUN,lɔre 
nurse,NOUN,nɛɛse 
partition,NOUN,nkyɛmu; nkyekyɛmu 
police,NOUN,opolisi; polisi 
police-officer,NOUN,opolisini; polisini 
computer,NOUN,kɔmputa 
bicycle,NOUN,sakre 
syllabus,NOUN,selaboso 
refrigerator,NOUN,asukɔkyea adaka 
fridge,NOUN,asukɔkyea adaka 
hankerchief,NOUN,hankete 
car,NOUN,teaseɛnam
shirt,NOUN,atadeɛ; ɛsoro atadeɛ 
concert,NOUN,kɔnsɛte 
future,NOUN | ADJECTIVE,daakye
beginning,NOUN,ahyɛaseɛ
begin,VERB,hyɛ aseɛ
bad,ADJECTIVE,bɔne
question,VERB,bisa 
small,ADJECTIVE,ketewa
laugh,VERB,sere 
stranger,NOUN,ɔhɔhoɔ; hɔhoɔ 
strange,ADJECTIVE,nwanwa; deɛ ɛyɛ nwanwa
close,VERB,to mu; tom 
vowel,NOUN,ɛnne nyegyeɛ 
consonant,NOUN,anom nyegyeɛ 
blessing,VERB,nhyira
female,NOUN,ɔbaa 
bless,VERB,hyira 
poor,ADJECTIVE,deɛ nni sika
citizen,NOUN,ɔmanni 
young-woman,NOUN,ababaawa 
pastor,NOUN,ɔsɔfoɔ; sɔfoɔ
young-man,NOUN,aberanteɛ 
journey,NOUN,akwantuo
heat,NOUN,ɔhyew 
ridicule,VERB,di fɛw
ridiculous,ADJECTIVE,deɛ nyansa nnim
preacher,NOUN,ɔsɔfoɔ; sɔfoɔ
preach,NOUN,ka nsɛm pa
free-time,NOUN,adagyeɛ
wake,VERB,nyane 
sick,ADJECTIVE,yare; deɛ ɔyare
many,ADJECTIVE | PRONOUN,pii
lazy,ADJECTIVE,akwadworɔ; deɛ ɔyɛ akwadworɔ
insult,VERB,di atɛm; didi atɛm
age-mate,NOUN,tipɛn; tipɛnfoɔ
lazy-person,ADJECTIVE,ɔkwadwofoɔ 
human,NOUN | ADJECTIVE,onipa; nipa 
human-being,NOUN,onipa dasani; ɔdasani 
idiot,NOUN,ɔkwasea 
sensible,ADJECTIVE,deɛ nyansa wɔ mu
cheat,VERB,sisi
sensible-person,NOUN,nyansafoɔ
bitter,ADJECTIVE,nwono; nwonwono; nwonwoonwono
thief,NOUN,ɔkorɔmfoɔ 
slave,NOUN,akoa 
wide,ADJECTIVE,trɛ; deɛ ɛtrɛ
cheating,NOUN,asisie 
scarce,ADJECTIVE,ɛho yɛ den; deɛ ɛho yɛ den
empty,ADJECTIVE,hwee; deɛ emu yɛ hwee
abundant,ADJECTIVE,abu so; deɛ abu so
living,NOUN,akatua 
listen,VERB,tie 
slow,ADJECTIVE,nyaa; nyaanyaa
fast,ADJECTIVE,ntɛm; ntɛntɛm
hard,ADJECTIVE,den; dennen; denneennen
untie,VERB,sane
quiet,ADJECTIVE,komm
soft,ADJECTIVE,mmerɛ; mmerɛmmerɛ; mmerɛmmerɛɛmmerɛ
sense,NOUN,nyansa
speak,VERB,kasa 
stupidity,NOUN,gyimie
first-born-2,ADJECTIVE | NOUN,abakan
stupid,ADJECTIVE,gyimi; deɛ wagyimi
tie,VERB,kyekyere
calm,ADJECTIVE,dinn
noise,NOUN,dede
dead,NOUN,owufoɔ 
near,ADVERB,bɛn
rich,ADJECTIVE,deɛ ɔwɔ sika
far,ADVERB,akyiri
new,ADJECTIVE,mono 
left,ADJECTIVE | ADVERB,benkum 
no,EXCLAMATION | NOUN,dabi
yes,EXCLAMATION,aane
learner,NOUN,osuani; suani
wealth,NOUN,ahodeɛ
wealthy,ADJECTIVE,ɔdefoɔ 
tall,ADJECTIVE,tenten 
east,NOUN,apueeɛ
short,ADJECTIVE,tiatia 
old,ADJECTIVE,dada 
enemy,NOUN,ɔtamfo 
victory,NOUN,nkonim
truthful-person,NOUN,ɔnokwafoɔ; nokwafoɔ 
liar,NOUN,ɔtorofoɔ; torofoɔ 
divorce,NOUN,awaregyaeɛ 
west,NOUN,atɔeɛ
continue,VERB,toa so 
north,NOUN,atifi
south,NOUN,anaafoɔ
defeat,VERB,di so nkonim
male,NOUN,barima 
child,NOUN,akwadaa 
truth,NOUN,nokwasɛm
discontinue,VERB,twa so 
life,NOUN,nkwa 
true,ADJECTIVE,nokorɛ
add,VERB,ka bɔ mu; ka bom 
lie,VERB,da 
subtract,VERB,te firi mu; te firim 
death,NOUN,owuo
adult,NOUN | ADJECTIVE,opanin; panin 
floor,NOUN,ɛfam; fam
brave,ADJECTIVE,akokoɔdurufoɔ
coward,NOUN | ADJECTIVE,ohufoɔ 
front,NOUN | ADJECTIVE,anim
ending,NOUN,awieeɛ
rainy-season,NOUN,osutɔberɛ
eternal,ADJECTIVE,afebɔɔ
ground,NOUN,ɛfam; fam
ask,VERB,bisa 
answer,VERB,yi ano 
who,INTERROGATIVE PRONOUN | ADVERB,hwan
so-that,CONJUNCTION,sɛdeɛ ɛbɛyɛ a
that,DEMONSTRATIVE PRONOUN | DETERMINER,ɛno; no
these,DEMONSTRATIVE PRONOUN | DETERMINER,yeinom
those,DEMONSTRATIVE PRONOUN | DETERMINER,ɛnonom
what,INTERROGATIVE PRONOUN | ADVERB,ɛdeɛn; deɛn
which,INTERROGATIVE PRONOUN | ADVERB,deɛhe; deɛ ɛwɔ he
whom,INTERROGATIVE PRONOUN | ADVERB,hwan
so,CONJUNCTION,nti
or,CONJUNCTION,anaa
itself,REFLEXIVE PRONOUN,ne ho
maybe,ADVERB,ebia
quickly,ADVERB,ahoɔhare so
clause,NOUN,ɔkasamufa; kasamufa
metaphor,NOUN,nnyinahɔma
suffix,NOUN,nsiakyire
conjunction,NOUN,nkabomdeɛ
ourselves,REFLEXIVE PRONOUN,yɛn ho
hyphen,NOUN,nkabom nsɛnkyerɛne 
yourselves,REFLEXIVE PRONOUN,mo ho
themselves,REFLEXIVE PRONOUN,wɔn ho
aback,ADVERB,nwanwa
abandon,VERB,yi totwene
abash,VERB,gu anim ase
abase,VERB,bu abomfeaa
abate,VERB,te so 
abbey,NOUN,nkɔkoradan
antonym,NOUN,abirabɔ
synonym,NOUN,nkyerɛase korɔ
exercise,NOUN,apɔmutenetene 
example,NOUN,nhwɛsoɔ
composition,NOUN,susutwerɛ 
story,NOUN,ayɛsɛm
dictation,NOUN,ɔkatwerɛ
idiom,NOUN,kasakoa
simile,NOUN,asesɛsɛm
when,ADVERB,berɛ bɛn 
myself,REFLEXIVE PRONOUN,me ho
poem,NOUN,anwensɛm
hyperbole,NOUN,anihanehane
acknowledgement,NOUN,nnyetomu; nnyetom 
yourself,REFLEXIVE PRONOUN,wo ho
why,ADVERB,adɛn 
how,ADVERB,ɛkwan bɛn so 
preface,NOUN,nnianimu
himself,REFLEXIVE PRONOUN,ne ho
herself,REFLEXIVE PRONOUN,ne ho
acknowledge,VERB,gye tom 
main-clause,NOUN,ɔkasamufa titire; kasamufa titire
verb,NOUN,adeyɛ; adeyɔ
subordinate-clause,NOUN,ɔkasamufa kumaa; kasamufa kumaa
sentence,NOUN,ɔkasamu; kasamu 
simple-sentence,NOUN,ɔkasamu tiawa; kasamu tiawa
adverb,NOUN,ɔkyerɛfoɔ; kyerɛfoɔ
verb-complement,NOUN,adeyɛ boafoɔ
adjective,NOUN,edin nkyerɛkyerɛmu
chapter,NOUN,ɔfa
noun,NOUN,edin
pronoun,NOUN,edinnsiananmu
compound-sentence,NOUN,ɔkasamu tenten; kasamu tenten
paragraph,NOUN,kasapɛn
letter,NOUN,atwerɛdeɛ 
page,NOUN,kratafa 
prefix,NOUN,nsianimu
exclamation,NOUN,nteamu
word,NOUN,asɛmfua
inverted-commas,NOUN,nkatomdeɛ 
exclamation-mark,NOUN,nteamudeɛ
bracket,NOUN,nkahyɛmdeɛ 
punctuation,NOUN,agyinahyɛdeɛ
full-stop,NOUN,osiwieeɛ
grammar,NOUN,kasa mmara
period,NOUN,mmeresantene 
alphabet,NOUN,ntwerɛdeɛ
apostrophe,NOUN,ogya nsɛnkyerɛne 
perhaps,ADVERB,ebia
phrase,NOUN,ɔkasasin; kasasin
comma,NOUN,nsanhɔ
colon,NOUN,osiprenu 
semicolon,NOUN,osisan 
question-mark,NOUN,asɛmmisa nsɛnkyerɛne 
already,ADVERB,dada
outside,NOUN | ADJECTIVE,abɔnten
never,ADVERB,da
seldom,ADVERB,ntaa
twice,ADVERB,mprenu
thrice,ADVERB,mprɛnsa
again,ADVERB,bio
before,CONJUNCTION,ansa; ansa na
very,ADVERB,pa ara 
at-all,PHRASE,koraa
because,CONJUNCTION,ɛfiri sɛ
if,CONJUNCTION,sɛ… a
as,CONJUNCTION,sɛ 
as-if,CONJUNCTION,asɛ
even,ADJECTIVE,pɛ; pɛpɛɛpɛ 
even-if,PHRASE,sɛ mpo
in-order-that,CONJUNCTION,sɛdeɛ ɛbɛyɛ a
than,CONJUNCTION | PREPOSITION,kyɛn
unless,CONJUNCTION,agye sɛ; gye sɛ
well,ADVERB,yie
whose,INTERROGATIVE PRONOUN | ADVERB,hwan
until,CONJUNCTION | PREPOSITION,kɔpem sɛ
while,CONJUNCTION | PREPOSITION,berɛ korɔ a; berɛ a
suppose,VERB,susu; susu sɛ 
whether,CONJUNCTION,oo… oo…
in-spite-of,PREPOSITION,ne nyinaa akyi no
happily,ADVERB,anigyeɛ so
and,CONJUNCTION,ne 
but,CONJUNCTION,nanso 
abroad,ADVERB | NOUN,amannɔne
abject,ADJECTIVE,buruburoo
abjure,VERB,pae mu ka
abomination,NOUN,akyiwadeɛ
abrogate,VERB,twa mu 
abrupt,VERB,mpofirim
abstain,VERB,twi ho firi 
accede,VERB,gye tom 
accent,NOUN,ɛkwan soronko a obi fa so bobɔ kasa bi mu nsɛmfua ahodoɔ
i-need-you,PHRASE,mehia wo
acclamation,NOUN,ahurusibɔ
south-east,NOUN,anaafoɔ-apueeɛ
accordion,NOUN,nkɔntwe
sideways,ADVERB | ADJECTIVE,nkyɛnmu
south-west,NOUN,anaafoɔ-atɔeɛ
sit-here,PHRASE,tena ha
greeting,NOUN,nkyea 
accumulate,VERB,boa ano
accuracy,NOUN,pɛpɛɛpɛyɛ
how-are-you,QUESTION,wo ho te sɛn? 
happy-birthday,PHRASE,mema wo awoda pa 
accurate,ADJECTIVE,pɛpɛɛpɛ
accursed,ADJECTIVE,deɛ nnomee di n’akyi
goodbye,EXCLAMATION,nante yie 
xmas,NOUN,Buronya 
farewell,EXCLAMATION,nante yie 
x-ray,NOUN,nipadua mu mfonin 
i-love-you,PHRASE,medɔ wo
xylophone,NOUN,adakabɛn
accusation,NOUN,soboɔ 
accuse,VERB,bɔ soboɔ 
stand,VERB,sɔre 
i-miss-you,PHRASE,mafe wo
turn-to-your-left,PHRASE,mane wo benkum so
please,ADVERB,mepa wo kyɛw; mepa kyɛw 
under-the-tree,PHRASE,dua no ase
welcome,NOUN | EXCLAMATION,akwaaba
sorry,EXCLAMATION,kosɛ
thank-you,PHRASE | EXCLAMATION,da ase 
i-dont-love-you,PHRASE,mennɔ wo
i-like-you,PHRASE,mepɛ w’asɛm
goodnight,PHRASE | EXCLAMATION,da yie 
go-straight-ahead,PHRASE,kɔ anim tee; kɔ w’anim tee
propose,VERB,se pɛ 
turn-to-your-right,PHRASE,mane wo nifa so
take-car,PHRASE,hwɛ wo ho so yie 
good-morning,PHRASE | EXCLAMATION,mema wo akye 
good-afternoon,PHRASE | EXCLAMATION,mema wo aha 
good-evening,PHRASE | EXCLAMATION,mema wo adwo 
sit,VERB,tena 
sit-down,PHRASE,tena ase 
christmas,NOUN,buronya
new-year,NOUN,afe foforɔ
easter,NOUN,Yesu wusɔreɛ da
merry-christmas,PHRASE | EXCLAMATION,afenhyia pa 
whats-up,PHRASE,ɛdeɛn na ɛrekɔ so?
greet,VERB,kyea 
sing,VERB,to dwom 
look-forward,PHRASE,hwɛ anim; hwɛ w’anim
look-back,PHRASE,hwɛ akyi; hwɛ w’akyi
look-down,PHRASE,hwɛ fam
turn,VERB,mane 
look-up,PHRASE,hwɛ soro
raise-your-head,PHRASE,pagya wo ti
look-to-your-right,PHRASE,hwɛ wo nifa so
junction,VERB,nkwanta 
go-back,PHRASE,kɔ w’akyi 
turn-around,PHRASE,dane wo ho
go-forward,PHRASE,kɔ w’anim
look-to-your-left,PHRASE,hwɛ wo benkum so
accost,VERB,hyia obi kasa n’anim  
come-forward,PHRASE,bra w’anim
account,VERB,bu akonta
accountant,NOUN,nkontabufoɔ
accounting,NOUN,nkontabuo
accrue,VERB,boa ano 
right-hand,ADJECTIVE,nsa nifa 
left-hand,ADJECTIVE,nsa benkum 
north-east,NOUN,atifi-apueeɛ 
acclimatize,VERB,kokwa
north-west,NOUN,atifi-atɔeɛ
accommodate,VERB,ma baabi tena
accompaniment,NOUN,nkekaho
acceptable,ADJECTIVE,deɛ dodoɔ gye tom 
acceptance,NOUN,nnyetom
accomplice,NOUN,bɔneyɛ boafoɔ
accomplish,VERB,wie 
accompany,VERB,gya kwan; gya obi kwan
accord,NOUN,nteaseɛ
accomplished,ADJCTIVE,deɛ wakwadare biribiyɛ ho
accordance,NOUN,mmara kwan so 
accept,VERB,gye tom
abundance,NOUN,mmorosoɔ
access,NOUN,ɛkwan; kwan 
abuse,NOUN,ateetee 
accessory,NOUN,akadeɛ
abysmal,ADJECTIVE,ɛnsɔ ani
accident,NOUN,kwanhyia 
accessible,ADJECTIVE,deɛ ɛmu wura nyɛ den 
acclaim,VERB,yi ayɛ; kamfo 
absurd,ADJECTIVE,nyansa nnim; deɛ nyansa nnim 
abstract,ADJECTIVE,adwenemudeɛ
abundant-2,ADJECTIVE,abu so; deɛ abu so
abyss,NOUN,amena donkodonko
academic,ADJECTIVE,deɛ ɛfa sukuu/suapɔn ho 
academy,NOUN,asuaeɛ 
abscond,VERB,dwane 
absent,ADJECTIVE,nni hɔ; deɛ ɔnni/ɛnni hɔ 
absentee,NOUN,ɔkobɔfoɔ; kobɔfoɔ
absolve,VERB,sane tire; sane tire wɔ bɔnedie ho
absenteeism,NOUN,kobɔ
about,PREPOSITION,ho 
absorb,VERB,nonom
absorbent,ADJECTIVE | NOUN,deɛ ɛnonom ntɛmtɛm; ntoma a ɛnonom ntɛmtɛm
abort,VERB,yi gu 
abortion,NOUN,nyinsɛnyiguo 
abound,VERB,bu 
abortive,ADJECTIVE,deɛ anyɛ yie
abortionist,NOUN,nyinsɛnyigufoɔ
above,PREPOSITION,ɛsoro; soro 
abrade,VERB,twi; twitwi anim
abominable,ADJECTIVE,deɛ ɛnyɛ koraa
abrasion,NOUN,atwitwie; ntwitwiiɛ 
abattoir,NOUN,namkumbea
ablaze,ADJECTIVE,dɛre framfram
able,ADJECTIVE,deɛ ɔtumi yɛ biribi
abolish,VERB,gu nhyehyɛeɛ 
abdomen,NOUN,yafunu
abnormal,ADJECTIVE,deɛ ne nneyɛ mfa kwan mu 
abode,NOUN,efie; fie 
abolition,NOUN,ntwasoɔ 
abominate,VERB,kyiri kɔkɔkɔkɔ; kyi kɔkɔkɔkɔ
abbreviate,VERB,twa so
abdicate,VERB,tu ho adeɛ so; tu wo ho adeɛ so
abduct,VERB,kyere sie; kye obi sie
aberration,NOUN,nneyɛ a ɛmfa kwan mu
abet,VERB,hyɛ kutupa
abhor,VERB,kra kyiri
abide-by,PHRASAL VERB,di mmara so
ability,NOUN,tumi
acknowledgement-2,PHRASE,me din de… 
what-is-your-name,QUESTION,wo din de sɛn? 
accused,NOUN,deɛ wɔabɔ no soboɔ 
xenophobia,NOUN,aman foforɔ so foɔ anitan
achiever,NOUN,deɛ ɔtu mpɔn wɔ n’adesua anaa n’adwuma mu
acquiesce,VERB,de amemenemfe gye tom
yearn,VERB,pɛ 
acquiescence,NOUN,amemenemfe nnyetomu
yell,VERB,tea mu; team
adjective-2,ADJECTIVE,edin nkyerɛkyerɛmu
i-live-at,PHRASE,mete…
advice,NOUN,afotuo
adapt,VERB,sesa su ma ɛne foforɔ nsɛ
adaptable,ADJECTIVE,deɛ ɛtumi/ɔtumi sesa ne su ma ɛne foforɔ sɛ
adhoc,ADJECTIVE,mpofirim adeyɛ
adjacent,ADJECTIVE,deɛ ɛwɔ nkyenmu 
admiral,NOUN,kohyɛn mu sahene
advertise,VERB,bɔ dawuro; bɔ biribi ho dawuro
advert,NOUN,dawurubɔ
advise,VERB,tu fo
adviser,NOUN,ɔfotufoɔ; fotufoɔ
advocate,VERB,ddi ma
aerate,VERB,ma mframa mfam
afar,ADVERB,akyirikyiri
aesthetic,ADJECTIVE,afɛɛfɛdeɛ
affable,ADJECTIVE,deɛ ɔpɛ nnipa 
admire,VERB,kamfo 
adolescence,NOUN,mmabunuberɛ 
admission,NOUN,nnyetomu 
admirer,NOUN,deɛ n’ani gye obi ho
admit,VERB,gye to mu; gye tom 
adorn,VERB,siesie
admixture,NOUN,mfrafraeɛ
adore,VERB,dɔ obi/biribi yie pa ara 
admonish,VERB,ka anim; twi anim
admonition,NOUN,animka
adopt,VERB,fa suban foforɔ 
adoption,NOUN,ɔbagyeɛ 
adoration,NOUN,nkotosɔreɛ 
adornment,NOUN,deɛ yɛde siesie obi/biribi ma ɛyɛ fɛ
adulation,NOUN,nkamfoɔ
adult-education,NOUN,mpanimfoɔ adesua
adulterate,VERB,fra mu
adulterer,NOUN,deɛ wafa ne yere akyi 
adulteress,NOUN,ɔyere a wafa ne kunu akyi 
adultery,NOUN,awareɛ akyi adwamammɔ
adulthood,NOUN,mpanimfeɛ so
advance,VERB,kɔ anim 
advancement,NOUN,nkankorɔ 
advantage,NOUN,mfasoɔ 
advent,NOUN,ahyɛaseɛ
adventure,NOUN,asiane dwumadie a anigyeɛ ne ahomka wɔ mu
adversary,NOUN,ɔtamfo
adverse,ADJECTIVE,deɛ ɛko tia obi; deɛ ɛdi tia obi
adversity,NOUN,amanehunu; amane
adjoin,VERB,bata ho
adjourn,VERB,tu hyɛ da
addicted,ADJECTIVE,deɛ ɔntumi nnyae nnubɔnenom
adjudicate,VERB,bu atɛn 
adjust,VERB,sesa 
adjustable,ADJECTIVE,deɛ yɛtumi sesa 
adjustment,NOUN,nsesaeɛ
admirable,ADJECTIVE,deɛ ɛsɛ nkamfoɔ 
addict,NOUN,nnubɔnenomfoɔ  
addition,PHRASE,deɛ ɛka ho
additional,ADJECTIVE,deɛ ɛka ho
address,VERB,siesie 
adequate,ADJECTIVE,deɛ ɛdɔɔso
adhere,VERB,di so 
adhesion,NOUN,adefam; adetareɛ 
activist,NOUN,deɛ ɔpere pɛ nsesaeɛ 
activity,NOUN,dwumadie 
actress,NOUN,ɔbaa (a)godini
actor,NOUN,barima (a)godini
actual,ADJECTIVE,pɔtee
actually,ADVERB,ampa
i-am-sick,PHRASE,meyare
acute,ADJECTIVE,deɛ emu ayɛ den
adage,NOUN,ɛbɛ 
adamant,ADJECTIVE,twann
adams-apple,NOUN,menemu pɔ
i-am-hungry,PHRASE,ɛkɔm de me
i-am-lost,PHRASE,mayera
active,ADJECTIVE,deɛ ɔkeka ne ho 
acquire,VERB,tɔ 
acquisition,NOUN,adenya
acquit,VERB,sane obi ti; yi obi ho fi 
act,VERB,di dwuma
acting,NOUN,ɔyɛkyerɛ; yɛkyerɛ
action,NOUN,dwumadie
i-am-happy,PHRASE,m’ani agye
i-am-sad,PHRASE,me werɛ aho
i-am-angry,PHRASE,me bo afu
yard,NOUN,adihɔ hɔ 
acid,NOUN,asede 
acme,NOUN,mpɛmpɛnso kɛseɛ; mpɛmpɛnsoɔ a ɛkorɔn
yaws,NOUN,gyatɔ
yarn,NOUN,asaawa 
acolyte,NOUN,nipa titire kyidifoɔ 
yea,ADVERB,aane 
ye,PRONOUN ,mo 
acquaintance,NOUN,deɛ woahyia no pɛn nso wonnim no papa
xenophobic,ADJECTIVE,deɛ ɔtan aman foforɔ so foɔ
accuser,NOUN,deɛ wɔabɔ soboɔ 
ace,ADJECTIVE,deɛ wakwadare biribi pɔtee yɛ
ache,VERB,yɛ ya
yacht,NOUN,hyɛmma
yank,NOUN,twe prɛko pɛ 
achieve,VERB,nya; nya biribi
yankee,NOUN,Amɛrikani
affluent,ADJECTIVE,osikani 
afford,VERB,tumi tua ka 
affordable,ADJECTIVE,ɛyɛ fo; deɛ ɛyɛ fo 
aglow,ADJECTIVE,ɛhyerɛn 
agitate,VERB,ma obi yɛ basaa 
aids,NOUN,babaso werɛmfoɔ
ago,ADVERB,atwam
aged,NOUN,akɔkora; akwakora 
ail,VERB,ha; ha adwene
ailment,NOUN,yareɛ; yadeɛ
alms,NOUN,akyɛdeɛ a wɔde ma ahiafoɔ 
among,PREPOSITION,ka ho
alarm,VERB,bɔ hu; tu akoma 
amongst,PREPOSITION,ka ho
amount,NOUN,dodoɔ 
anal,ADJECTIVE,turumu; deɛ ɛfa turumu ho
anything,PRONOUN,biribiara
anxiety,NOUN,adwenemuhaw
anytime,ADVERB,berɛ biara
anywhere,ADVERB,baabiara
any,DETERMINER | PRONOUN,biara
anybody,PRONOUN,obiara
anyhow,ADVERB,biarabiara
anymore,ADVERB,biom
anyone,PRONOUN,obiara
anyplace,PRONOUN,baabiara
annul,VERB,twa mu; twam
anoint,VERB,sra ngo
anointed,ADJECTIVE,deɛ wɔasra no ngo
anointing,NOUN,ngosra
anomalous,ADJECTIVE,da nso
antagonist,NOUN,ɔtamfo; tamfo
antagonism,NOUN,ɔtan
antenatal,ADJECTIVE,apemfoɔ ayarehwɛ
anthill,NOUN,esie
anticipate,VERB,hwɛ anim
angel,NOUN,ɔbɔfoɔ; bɔfoɔ 
analogous,ADJECTIVE,ɛsɛ
anarchy,NOUN,basabasayɔ
analogy,NOUN,mfatoho
ancestor,NOUN,nananom nsamanfoɔ
ancient,ADJECTIVE,tete
anatomy,NOUN,nipadua 
animal,NOUN,aboa 
anew,ADJECTIVE,foforɔ
anniversary,NOUN,afeda
annoying,ADJECTIVE,ɛhyɛ abufuo; deɛ ɛhyɛ abufuo
angry,ADJECTIVE,bo afu
angrily,ADVERB,abufuo so
anguish,NOUN,ɛyeaa; ɔyaw
animosity,NOUN,ɔtan
announce,VERB,ka no badwam
annoy,VERB,hyɛ abufuo
announcement,NOUN,nkaebɔ
anaemia,NOUN,mogyahwereɛ
annual,ADJECTIVE,ɛsi afe-afe; ɛba afe-afe
amour,NOUN,esum-ase dɔ
amputate,VERB,twa nsa firi hɔ 
amputee,NOUN,deɛ wɔatwa ne nsa 
amulet,NOUN,bansere
amen,EXCLAMATION,ɛnyɛ hɔ 
amuse,VERB,hyɛ sereɛ 
amusement,NOUN,anigyeɛ 
ambassador,NOUN,ɔman ananmusini wɔ ɔman foforɔ so
ambition,NOUN,botaeɛ
ambulance,NOUN,ayarefoɔ hyɛn/kaa 
ambush,VERB,to hyɛ so
ameliorate,VERB,siesie 
alcohol,NOUN,nsa 
amend,VERB,sesa; sesa mu 
amendment,NOUN,nsesaeɛ 
ammunition,NOUN,atuo aboba 
amnesty,NOUN,bɔnefakyɛ
albino,NOUN,ofiri
album,NOUN,mfonin nwoma 
albumen,NOUN,kosua mu fitaa
also,ADVERB,nso 
alcoholism,NOUN,nsaborɔ
alcoholic,NOUN,nsadweam
alert,ADJECTIVE,ani da hɔ 
alien,NOUN,ɔhɔhoɔ 
alight,ADJECTIVE,ɛredɛre 
alone,ADJECTIVE,nko ara
altar,NOUN,afɔrepono 
alter,VERB,sesa mu; sesam
altitude,NOUN,ahunum
altogether,ADVERB,korakora
aluminium,NOUN,senya
always,ADVERB,berɛ biara 
amaze,VERB,ma ɛyɛ nwanwa
amazing,ADJECTIVE,ɛyɛ nwanwa
air,NOUN,mframa 
aimless,ADJECTIVE,deɛ ɔnni botaeɛ biara; 
airport,NOUN,wiemhyɛn gyinabea
air-raid,NOUN,wiemhyɛn topaeɛtoɔ
ugly,ADJECTIVE,tan
airstrip,NOUN,wiemhyɛn tubea
ajar,ADJECTIVE,da mpan; deɛ ada mpan
akimbo,ADVERB,de nsa asɔ sisie
akin,ADJECTIVE,ɛsɛ; deɛ ɛsɛ
alacrity,NOUN,ntɛm so
aim,VERB,gyene; gyene ani
udder,NOUN,nufoɔ  
alive,ADJECTIVE,te ase; deɛ ɔte ase 
all,DETERMINER,nyinaa
ulterior,ADJECTIVE,deɛ wode atɛ
allah,NOUN,Onyankopɔn din wɔ Kramosom mu 
allay,VERB,dwodwo
alleviate,VERB,dwodwo
alley,NOUN,ɛkwan a ɛda adan ntam; adantam kwan
alliance,NOUN,apam
allocate,VERB,kyɛ ma
allow,VERB,ma ho kwan
umbrella-2,NOUN,kyiniiɛ
alma-mater,NOUN,sukuu a obi kɔeɛ
almighty,NOUN,Okokuroko
almost,ADVERB,aka kumaa bi
agony,NOUN,ɛyeaa; ɔyaw
agrarian,ADJECTIVE,deɛ ɛfa kuadwuma ho
agreement,NOUN,nteaseɛ
agriculture,NOUN,kuadwuma
aid,VERB,boa 
ahead,ADVERB,kan
aide,NOUN,ɔboafoɔ; boafoɔ 
agency,NOUN,nkorabata
agenda,NOUN,tirimupɔ
agent,NOUN,nanmusini 
aggravate,VERB,ma ɛnsɛe koraa 
aggression,NOUN,ntohyɛsoɔ 
aggressive,ADJECTIVE,deɛ ne koko nyɛ
aggressor,NOUN,ɔtoafoɔ
agile,ADJECTIVE,hare; deɛ ne ho yɛ hare 
aggrieved,ADJECTIVE,bo afu
afresh,ADVERB,bio 
africa,NOUN,Abibirem
african,NOUN,Obibini 
age,NOUN,mfeɛ 
after,PREPOSITION,akyi
after-effect,NOUN,akyiri nsunsuansoɔ 
aftermath,NOUN,akyiri asɛm 
against,PREPOSITION,tia 
afterwards,ADVERB,akyire
agape,ADJECTIVE,ahodwiri anobue 
afraid,ADJECTIVE | VERB ,suro
affray,NOUN,abɔnten ntɔkwa dennen
affront,VERB,hyɛ abufuo 
afire,ADJECTIVE,ogya da mu; deɛ ogya da mu 
aflame,ADJECTIVE,ogya da mu; ogya dam 
aforementioned,ADJECTIVE,deɛ wɔabɔ soɔ dada
afloat,ADJECTIVE,tɛ nsuo ani; deɛ ɛtɛ nsuo ani 
affair,NOUN,dwumadie pɔtee bi 
affect,VERB,nya obi so tumi; nya biribi so tumi 
affliction,NOUN,ateetee
affection,NOUN,ɔdɔ 
affiliate,VERB,fam ho
affinity,NOUN,ɔdɔ; ayɔnkofa 
affirm,VERB,pae mu ka 
affix,VERB,de tare ho
afflict,VERB,teetee
affluence,NOUN,asetena pa
appease,VERB,dwodwo
appropriate,ADJECTIVE,ɛfata
arithmetic,NOUN,nkonta
