english,pos,twi
soldier,NOUN,ɔsraani 
kick,NOUN,bɔ
ocean,NOUN,ɛpokɛseɛ
today,NOUN | ADVERB,ɛnnɛ; nnɛ
tomorrow,NOUN | ADVERB,ɔkyena; kyena
cheap,ADJECTIVE,fo
wear-2,VERB,hyɛ 
there,ADVERB,ɛhɔ; hɔ
bark,VERB,pɔ 
dawn,NOUN,ahemadakye
right-now,ADVERB,seesei ara
pound,VERB,wɔ 
yesterday,NOUN | ADVERB,ɛnnora; nnora
month,NOUN,bosome 
year,NOUN,afe 
noon,NOUN,prɛmtoberɛ
afternoon,NOUN | ADVERB,awia
midday,NOUN,prɛmtoberɛ
now,ADVERB,seesei
pain,VERB,yɛ ya 
remove,VERB,yi; yi firim
time,NOUN,ɛberɛ; berɛ 
morning,NOUN | ADVERB,anɔpa 
shave,VERB,yi 
evening,NOUN | ADVERB,anwummerɛ
night,NOUN,anadwo
this,DEMONSTRATIVE PRONOUN | DETERMINER,yei; wei
good,ADJECTIVE | NOUN,pa; papa
midnight,NOUN,anadwo dasuom
give,NOUN,ma 
full,ADJECTIVE,ma
kudos,NOUN,ayɛyie
congratulations,NOUN,mo-ne-yɔ
inside,ADJECTIVE,emu; mu
only,ADJECTIVE | ADVERB,nko ara 
bleach,VERB,pɔ 
knot,NOUN,ɛpɔ; pɔ 
long,ADJECTIVE,tenten 
harvest,VERB,twa
sea,NOUN,ɛpo; po
chew,VERB,we 
die,VERB,wu 
reject,VERB,po 
find,VERB,pɛ 
bake,VERB,to 
fly,VERB,tu 
harmattan,NOUN,ɔpɛ; ɔpɛberɛ
dance,VERB,sa 
wash,VERB,si; si nnoɔma 
where,ADVERB,ɛhe; he
throw,VERB,to 
happen,VERB,si; ma ɛsi
pinch,VERB,ti 
dig,VERB,tu; tutu; 
say,VERB,ka 
hide,VERB,tɛ; tetɛ 
worry,VERB,ha; ha adwene 
big,ADJECTIVE,kɛseɛ
light,NOUN,ɛhann; hann 
